'ICD-9-CM CODE','CCS LVL 1','CCS LVL 1 LABEL','CCS LVL 2','CCS LVL 2 LABEL','CCS LVL 3','CCS LVL 3 LABEL'
'0233','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'0234','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'0235','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'0239','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'0242','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'0243','1',"Operations on the nervous system",'1.2',"Insertion; replacement; or removal of extracranial ventricular shunt [2.]",' '," "
'805 ','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.1',"Excision of intervertebral disc"
'8050','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.1',"Excision of intervertebral disc"
'8051','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.1',"Excision of intervertebral disc"
'8059','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.1',"Excision of intervertebral disc"
'0302','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'0309','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8459','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8460','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8461','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8462','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8463','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8464','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8465','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8466','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8467','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8468','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8469','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8480','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8481','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8482','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8483','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8484','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'8485','1',"Operations on the nervous system",'1.3',"Laminectomy; excision intervertebral disc [3.]",'1.3.2',"Laminectomy"
'0331','1',"Operations on the nervous system",'1.4',"Diagnostic spinal tap [4.]",' '," "
'038 ','1',"Operations on the nervous system",'1.5',"Insertion of catheter or spinal stimulator and injection into spinal canal [5.]",' '," "
'0390','1',"Operations on the nervous system",'1.5',"Insertion of catheter or spinal stimulator and injection into spinal canal [5.]",' '," "
'0391','1',"Operations on the nervous system",'1.5',"Insertion of catheter or spinal stimulator and injection into spinal canal [5.]",' '," "
'0392','1',"Operations on the nervous system",'1.5',"Insertion of catheter or spinal stimulator and injection into spinal canal [5.]",' '," "
'0393','1',"Operations on the nervous system",'1.5',"Insertion of catheter or spinal stimulator and injection into spinal canal [5.]",' '," "
'0394','1',"Operations on the nervous system",'1.5',"Insertion of catheter or spinal stimulator and injection into spinal canal [5.]",' '," "
'0443','1',"Operations on the nervous system",'1.6',"Decompression peripheral nerve [6.]",'1.6.1',"Release of carpal tunnel"
'0444','1',"Operations on the nervous system",'1.6',"Decompression peripheral nerve [6.]",'1.6.2',"Other lysis of adhesion and decompression of peripheral nerves"
'0449','1',"Operations on the nervous system",'1.6',"Decompression peripheral nerve [6.]",'1.6.2',"Other lysis of adhesion and decompression of peripheral nerves"
'0111','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0112','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0113','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0114','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0115','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0118','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0119','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0332','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0339','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0411','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0412','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0419','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0511','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0519','1',"Operations on the nervous system",'1.7',"Other diagnostic nervous system procedures [7.]",' '," "
'0102','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0241','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0295','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0321','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0395','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0396','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0480','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0481','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0489','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0531','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0532','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0539','1',"Operations on the nervous system",'1.8',"Other non-OR or closed therapeutic nervous system procedures [8.]",' '," "
'0120','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0129','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'016 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0201','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0202','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0203','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0204','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0205','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0206','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0207','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0211','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0212','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0213','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0214','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'022 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0221','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0222','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0291','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0292','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0293','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0294','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0296','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0299','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0301','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'031 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0329','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'034 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0351','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0352','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0353','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0359','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'036 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0371','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0372','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0379','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0397','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0398','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0399','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0401','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0402','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0403','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0404','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0405','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0406','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0407','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'042 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'043 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0441','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0442','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'045 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'046 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0471','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0472','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0473','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0474','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0475','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0476','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0479','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0491','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0492','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0493','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0499','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'050 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0521','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0522','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0523','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0524','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0525','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0529','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0581','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'0589','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'059 ','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'1761','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8053','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8054','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8458','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8694','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8695','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8696','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8697','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'8698','1',"Operations on the nervous system",'1.9',"Other OR therapeutic nervous system procedures [9.]",' '," "
'062 ','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'0631','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'0639','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'064 ','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'0650','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'0651','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'0652','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'066 ','2',"Operations on the endocrine system",'2.1',"Thyroidectomy; partial or complete [10.]",' '," "
'0611','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0612','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0613','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0619','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0700','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0701','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0702','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0711','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0712','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0713','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0714','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0715','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0716','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0717','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0719','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0751','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0771','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0791','2',"Operations on the endocrine system",'2.2',"Diagnostic endocrine procedures [11.]",' '," "
'0601','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0602','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0609','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'067 ','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0681','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0689','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0691','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0692','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0693','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0694','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0695','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0698','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0699','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0721','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0722','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0729','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'073 ','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0741','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0742','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0743','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0744','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0745','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0749','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0752','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0753','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0754','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0759','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0761','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0762','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0763','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0764','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0765','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0768','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0769','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0772','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0779','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0780','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0781','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0782','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0783','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0784','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0792','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0793','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0794','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0795','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0798','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'0799','2',"Operations on the endocrine system",'2.3',"Other therapeutic endocrine procedures [12.]",' '," "
'1160','3',"Operations on the eye",'3.1',"Corneal transplant [13.]",' '," "
'1161','3',"Operations on the eye",'3.1',"Corneal transplant [13.]",' '," "
'1162','3',"Operations on the eye",'3.1',"Corneal transplant [13.]",' '," "
'1163','3',"Operations on the eye",'3.1',"Corneal transplant [13.]",' '," "
'1164','3',"Operations on the eye",'3.1',"Corneal transplant [13.]",' '," "
'1169','3',"Operations on the eye",'3.1',"Corneal transplant [13.]",' '," "
'1251','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1252','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1253','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1254','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1255','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1259','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1261','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1262','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1263','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1264','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1265','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1266','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1267','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1269','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1271','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1272','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1273','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1274','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1279','3',"Operations on the eye",'3.2',"Glaucoma procedures [14.]",' '," "
'1370','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.1',"Insertion of prosthetic lens"
'1371','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.1',"Insertion of prosthetic lens"
'1372','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.1',"Insertion of prosthetic lens"
'1341','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.2',"Phacoemulsification and aspiration of cataract"
'1359','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.3',"Other extracapsular extraction of lens"
'1311','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.4',"Other lens and cataract procedures"
'1319','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.4',"Other lens and cataract procedures"
'132 ','3',"Operations on the eye",'3.3',"Lens and cataract procedures [15.]",'3.3.4',"Other lens and cataract procedures"
