NOTE: New codes are introduced in October and old codes are phased out in September.
'ICD-9-CM CODE','CCS CATEGORY','CCS CATEGORY DESCRIPTION','ICD-9-CM CODE DESCRIPTION','OPTIONAL CCS CATEGORY','OPTIONAL CCS CATEGORY DESCRIPTION'
'01195','1    ','Tuberculosis',"PULMON TB NOS-HISTO DX",' ',' '
'01196','1    ','Tuberculosis',"PULMON TB NOS-OTH TEST",' ',' '
'01200','1    ','Tuberculosis',"TB PLEURISY-UNSPEC",' ',' '
'01201','1    ','Tuberculosis',"TB PLEURISY-NO EXAM",' ',' '
'01202','1    ','Tuberculosis',"TB PLEURISY-EXAM UNKN",' ',' '
'01203','1    ','Tuberculosis',"TB PLEURISY-MICRO DX",' ',' '
'01204','1    ','Tuberculosis',"TB PLEURISY-CULT DX",' ',' '
'01205','1    ','Tuberculosis',"TB PLEURISY-HISTOLOG DX",' ',' '
'01206','1    ','Tuberculosis',"TB PLEURISY-OTH TEST",' ',' '
'01210','1    ','Tuberculosis',"TB THORACIC NODES-UNSPEC",' ',' '
'01211','1    ','Tuberculosis',"TB THORAX NODE-NO EXAM",' ',' '
'01212','1    ','Tuberculosis',"TB THORAX NODE-EXAM UNKN",' ',' '
'01213','1    ','Tuberculosis',"TB THORAX NODE-MICRO DX",' ',' '
'01214','1    ','Tuberculosis',"TB THORAX NODE-CULT DX",' ',' '
'01215','1    ','Tuberculosis',"TB THORAX NODE-HISTO DX",' ',' '
'01216','1    ','Tuberculosis',"TB THORAX NODE-OTH TEST",' ',' '
'01220','1    ','Tuberculosis',"ISOL TRACHEAL TB-UNSPEC",' ',' '
'01221','1    ','Tuberculosis',"ISOL TRACHEAL TB-NO EXAM",' ',' '
'01222','1    ','Tuberculosis',"ISOL TRACH TB-EXAM UNKN",' ',' '
'01223','1    ','Tuberculosis',"ISOLAT TRACH TB-MICRO DX",' ',' '
'01224','1    ','Tuberculosis',"ISOL TRACHEAL TB-CULT DX",' ',' '
'01225','1    ','Tuberculosis',"ISOLAT TRACH TB-HISTO DX",' ',' '
'01226','1    ','Tuberculosis',"ISOLAT TRACH TB-OTH TEST",' ',' '
'01230','1    ','Tuberculosis',"TB LARYNGITIS-UNSPEC",' ',' '
'01231','1    ','Tuberculosis',"TB LARYNGITIS-NO EXAM",' ',' '
'01232','1    ','Tuberculosis',"TB LARYNGITIS-EXAM UNKN",' ',' '
'01233','1    ','Tuberculosis',"TB LARYNGITIS-MICRO DX",' ',' '
'01234','1    ','Tuberculosis',"TB LARYNGITIS-CULT DX",' ',' '
'01235','1    ','Tuberculosis',"TB LARYNGITIS-HISTO DX",' ',' '
'01236','1    ','Tuberculosis',"TB LARYNGITIS-OTH TEST",' ',' '
'01280','1    ','Tuberculosis',"RESP TB NEC-UNSPEC",' ',' '
'01281','1    ','Tuberculosis',"RESP TB NEC-NO EXAM",' ',' '
'01282','1    ','Tuberculosis',"RESP TB NEC-EXAM UNKN",' ',' '
'01283','1    ','Tuberculosis',"RESP TB NEC-MICRO DX",' ',' '
'01284','1    ','Tuberculosis',"RESP TB NEC-CULT DX",' ',' '
'01285','1    ','Tuberculosis',"RESP TB NEC-HISTO DX",' ',' '
'01286','1    ','Tuberculosis',"RESP TB NEC-OTH TEST",' ',' '
'01300','1    ','Tuberculosis',"TB MENINGITIS-UNSPEC",' ',' '
'01301','1    ','Tuberculosis',"TB MENINGITIS-NO EXAM",' ',' '
'01302','1    ','Tuberculosis',"TB MENINGITIS-EXAM UNKN",' ',' '
'01303','1    ','Tuberculosis',"TB MENINGITIS-MICRO DX",' ',' '
'01304','1    ','Tuberculosis',"TB MENINGITIS-CULT DX",' ',' '
'01305','1    ','Tuberculosis',"TB MENINGITIS-HISTO DX",' ',' '
'01306','1    ','Tuberculosis',"TB MENINGITIS-OTH TEST",' ',' '
'01310','1    ','Tuberculosis',"TUBRCLMA MENINGES-UNSPEC",' ',' '
'01311','1    ','Tuberculosis',"TUBRCLMA MENING-NO EXAM",' ',' '
'01312','1    ','Tuberculosis',"TUBRCLMA MENIN-EXAM UNKN",' ',' '
'01313','1    ','Tuberculosis',"TUBRCLMA MENING-MICRO DX",' ',' '
'01314','1    ','Tuberculosis',"TUBRCLMA MENING-CULT DX",' ',' '
'01315','1    ','Tuberculosis',"TUBRCLMA MENING-HISTO DX",' ',' '
'01316','1    ','Tuberculosis',"TUBRCLMA MENING-OTH TEST",' ',' '
'01320','1    ','Tuberculosis',"TUBERCULOMA BRAIN-UNSPEC",' ',' '
'01321','1    ','Tuberculosis',"TUBRCLOMA BRAIN-NO EXAM",' ',' '
'01322','1    ','Tuberculosis',"TUBRCLMA BRAIN-EXAM UNKN",' ',' '
'01323','1    ','Tuberculosis',"TUBRCLOMA BRAIN-MICRO DX",' ',' '
'01324','1    ','Tuberculosis',"TUBRCLOMA BRAIN-CULT DX",' ',' '
'01325','1    ','Tuberculosis',"TUBRCLOMA BRAIN-HISTO DX",' ',' '
'01326','1    ','Tuberculosis',"TUBRCLOMA BRAIN-OTH TEST",' ',' '
'01330','1    ','Tuberculosis',"TB BRAIN ABSCESS-UNSPEC",' ',' '
'01331','1    ','Tuberculosis',"TB BRAIN ABSCESS-NO EXAM",' ',' '
'01332','1    ','Tuberculosis',"TB BRAIN ABSC-EXAM UNKN",' ',' '
'01333','1    ','Tuberculosis',"TB BRAIN ABSC-MICRO DX",' ',' '
'01334','1    ','Tuberculosis',"TB BRAIN ABSCESS-CULT DX",' ',' '
'01335','1    ','Tuberculosis',"TB BRAIN ABSC-HISTO DX",' ',' '
'01336','1    ','Tuberculosis',"TB BRAIN ABSC-OTH TEST",' ',' '
'01340','1    ','Tuberculosis',"TUBRCLMA SP CORD-UNSPEC",' ',' '
'01341','1    ','Tuberculosis',"TUBRCLMA SP CORD-NO EXAM",' ',' '
'01342','1    ','Tuberculosis',"TUBRCLMA SP CD-EXAM UNKN",' ',' '
'01343','1    ','Tuberculosis',"TUBRCLMA SP CRD-MICRO DX",' ',' '
'01344','1    ','Tuberculosis',"TUBRCLMA SP CORD-CULT DX",' ',' '
'01345','1    ','Tuberculosis',"TUBRCLMA SP CRD-HISTO DX",' ',' '
'01346','1    ','Tuberculosis',"TUBRCLMA SP CRD-OTH TEST",' ',' '
'01350','1    ','Tuberculosis',"TB SP CRD ABSCESS-UNSPEC",' ',' '
'01351','1    ','Tuberculosis',"TB SP CRD ABSC-NO EXAM",' ',' '
'01352','1    ','Tuberculosis',"TB SP CRD ABSC-EXAM UNKN",' ',' '
'01353','1    ','Tuberculosis',"TB SP CRD ABSC-MICRO DX",' ',' '
'01354','1    ','Tuberculosis',"TB SP CRD ABSC-CULT DX",' ',' '
'01355','1    ','Tuberculosis',"TB SP CRD ABSC-HISTO DX",' ',' '
'01356','1    ','Tuberculosis',"TB SP CRD ABSC-OTH TEST",' ',' '
'01360','1    ','Tuberculosis',"TB ENCEPHALITIS-UNSPEC",' ',' '
'01361','1    ','Tuberculosis',"TB ENCEPHALITIS-NO EXAM",' ',' '
'01362','1    ','Tuberculosis',"TB ENCEPHALIT-EXAM UNKN",' ',' '
'01363','1    ','Tuberculosis',"TB ENCEPHALITIS-MICRO DX",' ',' '
'01364','1    ','Tuberculosis',"TB ENCEPHALITIS-CULT DX",' ',' '
'01365','1    ','Tuberculosis',"TB ENCEPHALITIS-HISTO DX",' ',' '
'01366','1    ','Tuberculosis',"TB ENCEPHALITIS-OTH TEST",' ',' '
'01380','1    ','Tuberculosis',"CNS TB NEC-UNSPEC",' ',' '
'01381','1    ','Tuberculosis',"CNS TB NEC-NO EXAM",' ',' '
'01382','1    ','Tuberculosis',"CNS TB NEC-EXAM UNKN",' ',' '
'01383','1    ','Tuberculosis',"CNS TB NEC-MICRO DX",' ',' '
'01384','1    ','Tuberculosis',"CNS TB NEC-CULT DX",' ',' '
'01385','1    ','Tuberculosis',"CNS TB NEC-HISTO DX",' ',' '
'01386','1    ','Tuberculosis',"CNS TB NEC-OTH TEST",' ',' '
'01390','1    ','Tuberculosis',"CNS TB NOS-UNSPEC",' ',' '
'01391','1    ','Tuberculosis',"CNS TB NOS-NO EXAM",' ',' '
'01392','1    ','Tuberculosis',"CNS TB NOS-EXAM UNKN",' ',' '
'01393','1    ','Tuberculosis',"CNS TB NOS-MICRO DX",' ',' '
'01394','1    ','Tuberculosis',"CNS TB NOS-CULT DX",' ',' '
'01395','1    ','Tuberculosis',"CNS TB NOS-HISTO DX",' ',' '
'01396','1    ','Tuberculosis',"CNS TB NOS-OTH TEST",' ',' '
'01400','1    ','Tuberculosis',"TB PERITONITIS-UNSPEC",' ',' '
'01401','1    ','Tuberculosis',"TB PERITONITIS-NO EXAM",' ',' '
'01402','1    ','Tuberculosis',"TB PERITONITIS-EXAM UNKN",' ',' '
'01403','1    ','Tuberculosis',"TB PERITONITIS-MICRO DX",' ',' '
'01404','1    ','Tuberculosis',"TB PERITONITIS-CULT DX",' ',' '
'01405','1    ','Tuberculosis',"TB PERITONITIS-HISTO DX",' ',' '
'01406','1    ','Tuberculosis',"TB PERITONITIS-OTH TEST",' ',' '
'01480','1    ','Tuberculosis',"INTESTINAL TB NEC-UNSPEC",' ',' '
'01481','1    ','Tuberculosis',"INTESTIN TB NEC-NO EXAM",' ',' '
'01482','1    ','Tuberculosis',"INTEST TB NEC-EXAM UNKN",' ',' '
'01483','1    ','Tuberculosis',"INTESTIN TB NEC-MICRO DX",' ',' '
'01484','1    ','Tuberculosis',"INTESTIN TB NEC-CULT DX",' ',' '
'01485','1    ','Tuberculosis',"INTESTIN TB NEC-HISTO DX",' ',' '
'01486','1    ','Tuberculosis',"INTESTIN TB NEC-OTH TEST",' ',' '
'01500','1    ','Tuberculosis',"TB OF VERTEBRA-UNSPEC",' ',' '
'01501','1    ','Tuberculosis',"TB OF VERTEBRA-NO EXAM",' ',' '
'01502','1    ','Tuberculosis',"TB OF VERTEBRA-EXAM UNKN",' ',' '
'01503','1    ','Tuberculosis',"TB OF VERTEBRA-MICRO DX",' ',' '
'01504','1    ','Tuberculosis',"TB OF VERTEBRA-CULT DX",' ',' '
'01505','1    ','Tuberculosis',"TB OF VERTEBRA-HISTO DX",' ',' '
'01506','1    ','Tuberculosis',"TB OF VERTEBRA-OTH TEST",' ',' '
'01510','1    ','Tuberculosis',"TB OF HIP-UNSPEC",' ',' '
'01511','1    ','Tuberculosis',"TB OF HIP-NO EXAM",' ',' '
'01512','1    ','Tuberculosis',"TB OF HIP-EXAM UNKN",' ',' '
'01513','1    ','Tuberculosis',"TB OF HIP-MICRO DX",' ',' '
'01514','1    ','Tuberculosis',"TB OF HIP-CULT DX",' ',' '
'01515','1    ','Tuberculosis',"TB OF HIP-HISTO DX",' ',' '
'01516','1    ','Tuberculosis',"TB OF HIP-OTH TEST",' ',' '
'01520','1    ','Tuberculosis',"TB OF KNEE-UNSPEC",' ',' '
'01521','1    ','Tuberculosis',"TB OF KNEE-NO EXAM",' ',' '
'01522','1    ','Tuberculosis',"TB OF KNEE-EXAM UNKN",' ',' '
'01523','1    ','Tuberculosis',"TB OF KNEE-MICRO DX",' ',' '
'01524','1    ','Tuberculosis',"TB OF KNEE-CULT DX",' ',' '
'01525','1    ','Tuberculosis',"TB OF KNEE-HISTO DX",' ',' '
'01526','1    ','Tuberculosis',"TB OF KNEE-OTH TEST",' ',' '
'01550','1    ','Tuberculosis',"TB OF LIMB BONES-UNSPEC",' ',' '
'01551','1    ','Tuberculosis',"TB LIMB BONES-NO EXAM",' ',' '
'01552','1    ','Tuberculosis',"TB LIMB BONES-EXAM UNKN",' ',' '
'01553','1    ','Tuberculosis',"TB LIMB BONES-MICRO DX",' ',' '
'01554','1    ','Tuberculosis',"TB LIMB BONES-CULT DX",' ',' '
'01555','1    ','Tuberculosis',"TB LIMB BONES-HISTO DX",' ',' '
'01556','1    ','Tuberculosis',"TB LIMB BONES-OTH TEST",' ',' '
'01560','1    ','Tuberculosis',"TB OF MASTOID-UNSPEC",' ',' '
'01561','1    ','Tuberculosis',"TB OF MASTOID-NO EXAM",' ',' '
'01562','1    ','Tuberculosis',"TB OF MASTOID-EXAM UNKN",' ',' '
'01563','1    ','Tuberculosis',"TB OF MASTOID-MICRO DX",' ',' '
'01564','1    ','Tuberculosis',"TB OF MASTOID-CULT DX",' ',' '
'01565','1    ','Tuberculosis',"TB OF MASTOID-HISTO DX",' ',' '
'01566','1    ','Tuberculosis',"TB OF MASTOID-OTH TEST",' ',' '
'01570','1    ','Tuberculosis',"TB OF BONE NEC-UNSPEC",' ',' '
'01571','1    ','Tuberculosis',"TB OF BONE NEC-NO EXAM",' ',' '
'01572','1    ','Tuberculosis',"TB OF BONE NEC-EXAM UNKN",' ',' '
'01573','1    ','Tuberculosis',"TB OF BONE NEC-MICRO DX",' ',' '
'01574','1    ','Tuberculosis',"TB OF BONE NEC-CULT DX",' ',' '
'01575','1    ','Tuberculosis',"TB OF BONE NEC-HISTO DX",' ',' '
'01576','1    ','Tuberculosis',"TB OF BONE NEC-OTH TEST",' ',' '
'01580','1    ','Tuberculosis',"TB OF JOINT NEC-UNSPEC",' ',' '
'01581','1    ','Tuberculosis',"TB OF JOINT NEC-NO EXAM",' ',' '
'01582','1    ','Tuberculosis',"TB JOINT NEC-EXAM UNKN",' ',' '
'01583','1    ','Tuberculosis',"TB OF JOINT NEC-MICRO DX",' ',' '
'01584','1    ','Tuberculosis',"TB OF JOINT NEC-CULT DX",' ',' '
'01585','1    ','Tuberculosis',"TB OF JOINT NEC-HISTO DX",' ',' '
'01586','1    ','Tuberculosis',"TB OF JOINT NEC-OTH TEST",' ',' '
'01590','1    ','Tuberculosis',"TB BONE/JOINT NOS-UNSPEC",' ',' '
'01591','1    ','Tuberculosis',"TB BONE/JT NOS-NO EXAM",' ',' '
'01592','1    ','Tuberculosis',"TB BONE/JT NOS-EXAM UNKN",' ',' '
'01593','1    ','Tuberculosis',"TB BONE/JT NOS-MICRO DX",' ',' '
'01594','1    ','Tuberculosis',"TB BONE/JT NOS-CULT DX",' ',' '
'01595','1    ','Tuberculosis',"TB BONE/JT NOS-HISTO DX",' ',' '
'01596','1    ','Tuberculosis',"TB BONE/JT NOS-OTH TEST",' ',' '
'01600','1    ','Tuberculosis',"TB OF KIDNEY-UNSPEC",' ',' '
'01601','1    ','Tuberculosis',"TB OF KIDNEY-NO EXAM",' ',' '
'01602','1    ','Tuberculosis',"TB OF KIDNEY-EXAM UNKN",' ',' '
'01603','1    ','Tuberculosis',"TB OF KIDNEY-MICRO DX",' ',' '
'01604','1    ','Tuberculosis',"TB OF KIDNEY-CULT DX",' ',' '
'01605','1    ','Tuberculosis',"TB OF KIDNEY-HISTO DX",' ',' '
'01606','1    ','Tuberculosis',"TB OF KIDNEY-OTH TEST",' ',' '
'01610','1    ','Tuberculosis',"TB OF BLADDER-UNSPEC",' ',' '
'01611','1    ','Tuberculosis',"TB OF BLADDER-NO EXAM",' ',' '
'01612','1    ','Tuberculosis',"TB OF BLADDER-EXAM UNKN",' ',' '
'01613','1    ','Tuberculosis',"TB OF BLADDER-MICRO DX",' ',' '
'01614','1    ','Tuberculosis',"TB OF BLADDER-CULT DX",' ',' '
'01615','1    ','Tuberculosis',"TB OF BLADDER-HISTO DX",' ',' '
'01616','1    ','Tuberculosis',"TB OF BLADDER-OTH TEST",' ',' '
'01620','1    ','Tuberculosis',"TB OF URETER-UNSPEC",' ',' '
'01621','1    ','Tuberculosis',"TB OF URETER-NO EXAM",' ',' '
'01622','1    ','Tuberculosis',"TB OF URETER-EXAM UNKN",' ',' '
'01623','1    ','Tuberculosis',"TB OF URETER-MICRO DX",' ',' '
'01624','1    ','Tuberculosis',"TB OF URETER-CULT DX",' ',' '
'01625','1    ','Tuberculosis',"TB OF URETER-HISTO DX",' ',' '
'01626','1    ','Tuberculosis',"TB OF URETER-OTH TEST",' ',' '
'01630','1    ','Tuberculosis',"TB URINARY NEC-UNSPEC",' ',' '
'01631','1    ','Tuberculosis',"TB URINARY NEC-NO EXAM",' ',' '
'01632','1    ','Tuberculosis',"TB URINARY NEC-EXAM UNKN",' ',' '
'01633','1    ','Tuberculosis',"TB URINARY NEC-MICRO DX",' ',' '
'01634','1    ','Tuberculosis',"TB URINARY NEC-CULT DX",' ',' '
'01635','1    ','Tuberculosis',"TB URINARY NEC-HISTO DX",' ',' '
'01636','1    ','Tuberculosis',"TB URINARY NEC-OTH TEST",' ',' '
'01640','1    ','Tuberculosis',"TB EPIDIDYMIS-UNSPEC",' ',' '
'01641','1    ','Tuberculosis',"TB EPIDIDYMIS-NO EXAM",' ',' '
'01642','1    ','Tuberculosis',"TB EPIDIDYMIS-EXAM UNKN",' ',' '
'01643','1    ','Tuberculosis',"TB EPIDIDYMIS-MICRO DX",' ',' '
'01644','1    ','Tuberculosis',"TB EPIDIDYMIS-CULT DX",' ',' '
'01645','1    ','Tuberculosis',"TB EPIDIDYMIS-HISTO DX",' ',' '
'01646','1    ','Tuberculosis',"TB EPIDIDYMIS-OTH TEST",' ',' '
'01650','1    ','Tuberculosis',"TB MALE GENIT NEC-UNSPEC",' ',' '
'01651','1    ','Tuberculosis',"TB MALE GEN NEC-NO EXAM",' ',' '
'01652','1    ','Tuberculosis',"TB MALE GEN NEC-EX UNKN",' ',' '
'01653','1    ','Tuberculosis',"TB MALE GEN NEC-MICRO DX",' ',' '
'01654','1    ','Tuberculosis',"TB MALE GEN NEC-CULT DX",' ',' '
'01655','1    ','Tuberculosis',"TB MALE GEN NEC-HISTO DX",' ',' '
'01656','1    ','Tuberculosis',"TB MALE GEN NEC-OTH TEST",' ',' '
'01660','1    ','Tuberculosis',"TB OVARY & TUBE-UNSPEC",' ',' '
'01661','1    ','Tuberculosis',"TB OVARY & TUBE-NO EXAM",' ',' '
'01662','1    ','Tuberculosis',"TB OVARY/TUBE-EXAM UNKN",' ',' '
'01663','1    ','Tuberculosis',"TB OVARY & TUBE-MICRO DX",' ',' '
'01664','1    ','Tuberculosis',"TB OVARY & TUBE-CULT DX",' ',' '
'01665','1    ','Tuberculosis',"TB OVARY & TUBE-HISTO DX",' ',' '
'01666','1    ','Tuberculosis',"TB OVARY & TUBE-OTH TEST",' ',' '
'01670','1    ','Tuberculosis',"TB FEMALE GEN NEC-UNSPEC",' ',' '
'01671','1    ','Tuberculosis',"TB FEM GEN NEC-NO EXAM",' ',' '
'01672','1    ','Tuberculosis',"TB FEM GEN NEC-EXAM UNKN",' ',' '
'01673','1    ','Tuberculosis',"TB FEM GEN NEC-MICRO DX",' ',' '
'01674','1    ','Tuberculosis',"TB FEM GEN NEC-CULT DX",' ',' '
'01675','1    ','Tuberculosis',"TB FEM GEN NEC-HISTO DX",' ',' '
'01676','1    ','Tuberculosis',"TB FEM GEN NEC-OTH TEST",' ',' '
'01690','1    ','Tuberculosis',"GU TB NOS-UNSPEC",' ',' '
'01691','1    ','Tuberculosis',"GU TB NOS-NO EXAM",' ',' '
'01692','1    ','Tuberculosis',"GU TB NOS-EXAM UNKN",' ',' '
'01693','1    ','Tuberculosis',"GU TB NOS-MICRO DX",' ',' '
'01694','1    ','Tuberculosis',"GU TB NOS-CULT DX",' ',' '
'01695','1    ','Tuberculosis',"GU TB NOS-HISTO DX",' ',' '
'01696','1    ','Tuberculosis',"GU TB NOS-OTH TEST",' ',' '
'01700','1    ','Tuberculosis',"TB SKIN/SUBCUTAN-UNSPEC",' ',' '
