'ICD-9-CM CODE','CCS LVL 1','CCS LVL 1 LABEL','CCS LVL 2','CCS LVL 2 LABEL','CCS LVL 3','CCS LVL 3 LABEL','CCS LVL 4','CCS LVL 4 LABEL'
'01120','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01121','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01122','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01123','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01124','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01125','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01126','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01130','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01131','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01132','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01133','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01134','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01135','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01136','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01140','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01141','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01142','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01143','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01144','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01145','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01146','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01150','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01151','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01152','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01153','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01154','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01155','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01156','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01160','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01161','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01162','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01163','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01164','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01165','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01166','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01170','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01171','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01172','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01173','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01174','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01175','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01176','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01180','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01181','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01182','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01183','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01184','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01185','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01186','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01190','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01191','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01192','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01193','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01194','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01195','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01196','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01200','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01201','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01202','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01203','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01204','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01205','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01206','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01210','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01211','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01212','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01213','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01214','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01215','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01216','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01220','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01221','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01222','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01223','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01224','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01225','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01226','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01230','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01231','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01232','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01233','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01234','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01235','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01236','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01280','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01281','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01282','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01283','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01284','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01285','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01286','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01300','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01301','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01302','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01303','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01304','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01305','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01306','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01310','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01311','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01312','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01313','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01314','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01315','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01316','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01320','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01321','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01322','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01323','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01324','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01325','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01326','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01330','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01331','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01332','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01333','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01334','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01335','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01336','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01340','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01341','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01342','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01343','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01344','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01345','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01346','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01350','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01351','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01352','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01353','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01354','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01355','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01356','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01360','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01361','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01362','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01363','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01364','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01365','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01366','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01380','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01381','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01382','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01383','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01384','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01385','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01386','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01390','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01391','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01392','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01393','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01394','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01395','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01396','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01400','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01401','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01402','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01403','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01404','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01405','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01406','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01480','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01481','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01482','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01483','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01484','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01485','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01486','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01500','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01501','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01502','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01503','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01504','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01505','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01506','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01510','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01511','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01512','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01513','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01514','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01515','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01516','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01520','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01521','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01522','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01523','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01524','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01525','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01526','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01550','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
'01551','1',"Infectious and parasitic diseases",'1.1',"Bacterial infection",'1.1.1',"Tuberculosis [1.]",' '," "
